Subspace,Breackdown,Breackdown Top 1 Value,Measure,Predicted Measure,Error,Sig,Impact
*;*;*,Brand,Mercedes-Benz,26078057.0,45299919.2386528,-19221862.238652803,0.39042568068684913,0.9999999999999998
*;*;*,Body,crossover,31835321.999999993,92547951.405848,-60712629.405848004,0.1272752782418961,0.9999999999999998
*;*;*,Year,2016,15380480.570000002,960229563.1532129,-944849082.5832129,6.68127091929977e-85,1.0
BMW;*;*,Body,crossover,7342248.0,71241299.35935192,-63899051.35935192,0.11400491756267017,0.19421955659525494
BMW;*;*,Year,2016,3236608.25,51371878.24140859,-48135269.99140859,0.189885531696382,0.19421955659525494
Mercedes-Benz;*;*,Body,crossover,9490101.0,139657994.2585727,-130167893.2585727,0.004926648015062862,0.3218145261348547
Mercedes-Benz;*;*,Year,2016,7883784.0,167975398.72861788,-160091614.72861788,0.0006823530185477555,0.3218145261348547
Audi;*;*,Body,sedan,2961797.75,207263478.07058424,-204301680.32058424,1.8975731856457232e-05,0.10085118021047185
Audi;*;*,Year,2013,1039649.0,32531390.912062492,-31491741.912062492,0.2970598406389129,0.10085118021047185
Toyota;*;*,Body,crossover,7202984.9399999995,17456376.703971278,-10253391.763971278,0.4633228732245232,0.14580479026047813
Toyota;*;*,Year,2016,2079558.1300000004,107091945.09849115,-105012386.96849115,0.019755561650800436,0.14580479026047818
Renault;*;*,Body,van,1484386.8,1644629.947367461,-160243.1473674609,0.5467368617285655,0.04521556919192315
Renault;*;*,Year,2012,859196.0,11409128.201491477,-10549932.201491477,0.4608785529388594,0.04521556919192315
Volkswagen;*;*,Body,sedan,3302031.2300000004,8523363.683597729,-5221332.453597728,0.5049373560837471,0.14707011746504156
Volkswagen;*;*,Year,2012,1704145.53,59944603.848405935,-58240458.31840593,0.138285388715214,0.14707011746504156
Mitsubishi;*;*,Body,crossover,2165697.8499999996,7039913.457330853,-4874215.607330853,0.5078111779518854,0.045024260141975574
Mitsubishi;*;*,Year,2008,1024114.0,5539498.289700503,-4515384.289700503,0.5107815574287552,0.045024260141975574
*;sedan;*,Brand,Mercedes-Benz,8378068.0,28649199.073445264,-20271131.073445264,0.3820932694411502,0.30834447584797353
*;sedan;*,Year,2011,3405303.0,130226024.05891071,-126820721.05891071,0.006011580720674113,0.3083444758479736
*;van;*,Brand,Volkswagen,3213375.58,514359659.18512136,-511146283.6051214,4.8894697384375846e-26,0.10015311126212663
*;van;*,Year,2013,1208514.0,21078065.325601205,-19869551.325601205,0.38527606482946514,0.10015311126212664
*;crossover;*,Brand,Mercedes-Benz,9490101.0,54403306.93809335,-44913205.93809335,0.20855563771645508,0.3928616715493994
*;crossover;*,Year,2016,10588646.500000002,180766494.6401231,-170177848.1401231,0.00032320198970312215,0.3928616715493993
*;vagon;*,Brand,Audi,993838.0,6276359.902653023,-5282521.902653023,0.5044307305058178,0.048001974270913045
*;vagon;*,Year,2012,540174.0,8595650.58238996,-8055476.58238996,0.4814768780866995,0.048001974270913045
*;other;*,Brand,Mercedes-Benz,4434401.0,4260498.059956732,173902.9400432678,0.5494835074264959,0.11591366890250078
*;other;*,Year,2016,1889012.2,58649213.17804686,-56760200.97804686,0.14518008654196857,0.11591366890250078
*;hatch;*,Brand,Volkswagen,904019.78,1503338.5078357141,-599318.7278357141,0.5431243254123412,0.03472509816708658
*;hatch;*,Year,2013,347395.0,6208600.694795376,-5861205.694795376,0.49963920733387923,0.03472509816708658
*;*;1991,Brand,BMW,32299.0,116728.57782070427,-84429.57782070427,0.5473602422238693,0.0014363647479360296
*;*;1991,Body,sedan,91597.0,17996.77201659006,73600.22798340995,0.5486592724670353,0.0014363647479360296
*;*;1999,Brand,Mercedes-Benz,166649.0,555494.0483460292,-388845.04834602925,0.5448564811474393,0.006919182295199521
*;*;1999,Body,sedan,222797.0,298078.2129634624,-75281.2129634624,0.5474354572051767,0.006919182295199521
*;*;2003,Brand,Mercedes-Benz,410199.0,742390.1391480623,-332191.1391480623,0.5453225870973595,0.016701221739534998
*;*;2003,Body,sedan,574283.0,880111.8814745576,-305828.88147455757,0.5455394547833178,0.016701221739534998
*;*;2007,Brand,Mercedes-Benz,1299413.0,2017178.3475206788,-717765.3475206788,0.542149171170797,0.061539273379504204
*;*;2007,Body,sedan,1761320.0,7211155.006353549,-5449835.006353549,0.5030454069889477,0.061539273379504204
*;*;2011,Brand,Mercedes-Benz,2249420.0,5946142.892759968,-3696722.8927599676,0.5175558756245627,0.09308453099057831
*;*;2011,Body,sedan,3405303.0,6713311.054740018,-3308008.054740018,0.5207707872567217,0.09308453099057831
*;*;2016,Brand,Mercedes-Benz,7883784.0,18465241.859490447,-10581457.859490447,0.46061877885296676,0.1898017964436879
*;*;2016,Body,crossover,10588646.500000002,23067163.449502904,-12478516.949502902,0.4450217704850438,0.1898017964436879
*;*;1997,Brand,BMW,148948.0,755057.9808318446,-606109.9808318446,0.5430684209488549,0.0052593199575915175
*;*;1997,Body,sedan,280298.0,90131.77514988482,190166.2248501152,0.5496171305424742,0.0052593199575915175
*;*;2006,Brand,Mercedes-Benz,543601.0,775108.5108172647,-231507.51081726467,0.5461507822278535,0.03087659122620437
*;*;2006,Body,sedan,908749.0,2385583.154872352,-1476834.1548723518,0.5358940902850635,0.03087659122620437
*;*;2012,Brand,Volkswagen,1704145.53,4906769.533011689,-3202624.0030116886,0.5216421544026598,0.09272577645061801
*;*;2012,Body,sedan,2444798.0,6405204.467722343,-3960406.4677223433,0.5153743868850221,0.09272577645061801
*;*;1994,Brand,Mercedes-Benz,48500.0,177644.18810965397,-129144.18810965397,0.5469925883448096,0.002131797532894035
*;*;1994,Body,sedan,108650.0,42680.61854541475,65969.38145458525,0.5485965575480237,0.002131797532894035
*;*;2008,Brand,Mercedes-Benz,1672776.0,3799879.181984859,-2127103.181984859,0.5305284459332461,0.08133814135442655
*;*;2008,Body,crossover,2838089.0,7464073.534011334,-4625984.534011334,0.5098660727590653,0.08133814135442655
*;*;2001,Brand,Mercedes-Benz,319363.0,1110487.6767924346,-791124.6767924346,0.5415450865670579,0.011498741818276599
*;*;2001,Body,sedan,515142.0,288924.49723701173,226217.50276298827,0.5499133165643039,0.011498741818276599
*;*;2013,Brand,Mercedes-Benz,2376443.0,5976398.093880401,-3599955.093880401,0.5183563199356654,0.096496006788273
*;*;2013,Body,crossover,3512264.0,5646948.371426604,-2134684.3714266038,0.5304658557200101,0.096496006788273
*;*;1998,Brand,BMW,159597.0,1069372.250224089,-909775.250224089,0.5405678442404375,0.005346295332336594
*;*;1998,Body,sedan,265487.0,182448.97240289763,83038.02759710237,0.5487368363408883,0.005346295332336594
*;*;2010,Brand,Mercedes-Benz,1039388.0,4176040.261395712,-3136652.261395712,0.5221875888119046,0.04747726311423215
*;*;2010,Body,crossover,1295790.0,3132002.5453338716,-1836212.5453338716,0.5329294514136393,0.04747726311423215
*;*;1989,Brand,Volkswagen,20900.0,16920.354188344492,3979.6458116555077,0.5480870435373648,0.0007842098629824202
*;*;1989,Body,sedan,44349.0,86332.77192667351,-41983.77192667351,0.5477092039108146,0.0007842098629824202
*;*;2009,Brand,Mercedes-Benz,584299.0,804750.6170724222,-220451.61707242217,0.5462417127307637,0.03077025371142311
*;*;2009,Body,crossover,973098.0,2564919.3894985216,-1591821.3894985216,0.5349457289467647,0.03077025371142311
*;*;1996,Brand,Mercedes-Benz,89077.0,571469.8977157586,-482392.89771575865,0.5440867045972377,0.0038033462609509015
*;*;1996,Body,sedan,190763.0,88731.23639826025,102031.76360173975,0.5488929293435425,0.0038033462609509015
*;*;2014,Brand,Mercedes-Benz,2053504.0,8899602.528132293,-6846098.528132293,0.4914847498142474,0.07675393689221015
*;*;2014,Body,sedan,2511241.0999999996,12248592.233463012,-9737351.133463012,0.4675797365234172,0.07675393689221013
*;*;2000,Brand,Mercedes-Benz,316944.0,879903.6142174581,-562959.6142174581,0.5434236130362611,0.011024410727842049
*;*;2000,Body,sedan,460995.85,249238.47412824733,211757.37587175265,0.5497945200150002,0.011024410727842049
*;*;2004,Brand,Mercedes-Benz,430199.0,1147805.3440781224,-717606.3440781224,0.5421504803950352,0.020059177077486567
*;*;2004,Body,sedan,640045.0,1334734.6745412017,-694689.6745412017,0.5423391700049841,0.020059177077486567
*;*;1987,Brand,Audi,10861.0,24662.33153655784,-13801.331536557838,0.5479408811843495,0.0005398520046570583
*;*;1987,Body,sedan,26161.0,98779.08547610186,-72618.08547610186,0.5474573522828334,0.0005398520046570583
*;*;1990,Brand,BMW,23149.0,41683.07387271398,-18534.073872713983,0.547901976222815,0.0007163498196051254
*;*;1990,Body,sedan,45099.0,48342.89470371077,-3243.894703710772,0.5480276657145916,0.0007163498196051254
*;*;2005,Brand,Mercedes-Benz,464097.0,1376522.9117193318,-912425.9117193318,0.5405460097619238,0.02489533123266841
*;*;2005,Body,sedan,634642.0,2073928.2587645778,-1439286.2587645778,0.5362037240038129,0.02489533123266841
*;*;1995,Brand,BMW,77089.0,302532.9209003608,-225443.9209003608,0.5462006532386129,0.0027326162148199034
*;*;1995,Body,sedan,140786.0,60458.38357974208,80327.61642025792,0.5487145612128995,0.0027326162148199034
*;*;2002,Brand,Mercedes-Benz,262049.0,1096592.6978800162,-834543.6978800162,0.5411875030754929,0.011838794801601701
*;*;2002,Body,sedan,363385.0,681414.3069775758,-318029.30697757576,0.5454390903267505,0.011838794801601701
*;*;2015,Brand,Mercedes-Benz,1896928.0,13841025.624558775,-11944097.624558775,0.44940805214021917,0.06810627587086099
*;*;2015,Body,crossover,2292855.5,8731876.17488994,-6439020.674889941,0.49485492954127774,0.06810627587086099
*;*;1992,Brand,Audi,22200.0,101380.91376295483,-79180.91376295483,0.547403395298531,0.0011340734908765254
*;*;1992,Body,sedan,66900.0,38039.725052468864,28860.274947531136,0.5482915551687826,0.0011340734908765254
*;*;1988,Brand,BMW,21648.0,46869.12253391027,-25221.122533910268,0.5478470053279174,0.0007786443275099416
*;*;1988,Body,sedan,47597.0,11256.792717679406,36340.207282320596,0.5483530355630468,0.0007786443275099416
*;*;1986,Brand,Mitsubishi,7480.0,19585.396088777634,-12105.396088777634,0.5479548223137238,0.0003742730051991223
*;*;1986,Body,sedan,17979.0,14594.1156538341,3384.8843461659,0.5480821546124114,0.0003742730051991223
*;*;1980,Brand,Mercedes-Benz,7777.0,4842.150059080671,2934.849940919329,0.5480784553355693,0.00011937826779798243
*;*;1980,Body,other,7777.0,-1,7778.0,0.5481182657454884,0.00011937826779798243
*;*;1979,Brand,Mercedes-Benz,4940.0,-1,4941.0,0.5480949458302705,6.836600114752011e-05
*;*;1979,Body,sedan,5540.0,-1,5541.0,0.5480998777965704,6.836600114752011e-05
*;*;1985,Brand,Mercedes-Benz,16350.0,51873.948584531456,-35523.948584531456,0.5477623091338986,0.00046588221269345723
*;*;1985,Body,sedan,28402.5,18863.93355058236,9538.566449417642,0.5481327373787297,0.00046588221269345723
*;*;1993,Brand,BMW,44300.0,107663.42693898453,-63363.42693898453,0.5475334389436856,0.001704698217331691
*;*;1993,Body,sedan,78540.0,35790.32991996998,42749.67008003002,0.5484057164405588,0.001704698217331691
*;*;1969,Brand,Mercedes-Benz,34999.0,-1,35000.0,0.5483420199774952,0.0004319028292711293
*;*;1969,Body,sedan,34999.0,-1,35000.0,0.5483420199774952,0.0004319028292711293
*;*;1984,Brand,Volkswagen,5699.0,-1,5700.0,0.5481011847663958,7.032813006132078e-05
*;*;1984,Body,sedan,2500.0,3629.7698550091714,-1129.7698550091714,0.5480450440256871,7.032813006132078e-05
*;*;1978,Brand,Mercedes-Benz,7800.0,-1,7801.0,0.5481184548029877,9.625538067701388e-05
*;*;1978,Body,sedan,7800.0,-1,7801.0,0.5481184548029877,9.625538067701388e-05
*;*;1983,Brand,BMW,3700.0,-1,3701.0,0.5480847530763971,7.52766438627929e-05
*;*;1983,Body,other,3700.0,-1,3701.0,0.5480847530763971,7.52766438627929e-05
*;*;1982,Brand,Volkswagen,1950.0,-1,1951.0,0.5480703680875664,2.406384516925347e-05
*;*;1982,Body,hatch,1950.0,-1,1951.0,0.5480703680875664,2.406384516925347e-05
BMW;sedan;*,Year,2011,763498.0,7664414.140689931,-6900916.140689931,0.4910309583329697,0.07603711381698335
BMW;crossover;*,Year,2016,2530901.0,6043498.563837733,-3512597.563837733,0.5190788608815232,0.09060652259808254
BMW;vagon;*,Year,2012,198099.0,379242.55986875115,-181143.55986875115,0.5465649868241464,0.007503415434608735
BMW;other;*,Year,2012,263226.0,1645759.1664551136,-1382533.1664551136,0.5366716891327074,0.017282184664087877
BMW;hatch;*,Year,2016,52222.0,203799.15987470173,-151577.15987470173,0.5468081240612255,0.002790320081492431
Mercedes-Benz;sedan;*,Year,2011,1736555.0,23652891.8462326,-21916336.8462326,0.36913901401411997,0.10338899034332158
Mercedes-Benz;van;*,Year,2016,780531.0,2077858.7560427836,-1297327.7560427836,0.5373741661401323,0.03948989290218618
Mercedes-Benz;crossover;*,Year,2016,5314413.0,8486327.39210359,-3171914.39210359,0.5218960572837397,0.11711195954080898
Mercedes-Benz;vagon;*,Year,2013,52600.0,187267.87706770704,-134667.87706770704,0.5469471684931093,0.0029430699663668
Mercedes-Benz;other;*,Year,2016,1518440.0,6078060.293882833,-4559620.293882833,0.5104154039906961,0.05472243029865782
Mercedes-Benz;hatch;*,Year,2015,140368.0,277653.2266038115,-137285.2266038115,0.5469256464969314,0.004158183083513319
Audi;sedan;*,Year,2012,446000.0,4107405.569215661,-3661405.569215661,0.5178480219905164,0.036549867937765795
Audi;van;*,Year,1999,3000.0,-1,3001.0,0.5480789990884393,3.702130026038995e-05
Audi;crossover;*,Year,2013,621000.0,4713269.817580661,-4092269.817580661,0.514283287411769,0.03524802008432589
Audi;vagon;*,Year,2010,164899.0,-1,164900.0,0.5494095346615606,0.012264391669395143
Audi;other;*,Year,2007,198933.0,1196889.20158543,-997956.20158543,0.5398413998745832,0.012220299300785019
Audi;hatch;*,Year,2011,103000.0,-1,103001.0,0.5489008944522844,0.004531579917939612
Toyota;sedan;*,Year,2008,596299.0,10818110.014840892,-10221811.014840892,0.46358326992112564,0.034399151039586684
Toyota;van;*,Year,2016,110400.0,124034.43002755527,-13634.430027555267,0.5479422531705184,0.002110831136513234
Toyota;crossover;*,Year,2016,1576390.44,11351244.58059409,-9774854.140594091,0.4672702401200206,0.08888795607826896
Toyota;vagon;*,Year,2009,66666.0,-1,66667.0,0.5486022910501991,0.002243185370052483
Toyota;other;*,Year,2013,275983.0,1228243.960679049,-952260.9606790489,0.5402178590466072,0.010921382300282396
